frame_id,CI
2,0.7026785714285714
3,0.6529197
3,0.6529197
4,0.6554109
4,0.6353391
5,0.6412228
5,0.6637452
6,0.66668725
6,0.6666846
7,0.66517013
7,0.66482186
8,0.65980756
8,0.6598764
9,0.6620632
9,0.661483
10,0.66108614
10,0.66118133
11,0.6635021
11,0.6634572
12,0.66293716
12,0.6647295
13,0.6664646
13,0.6639983
14,0.66342527
14,0.6635074
15,0.66074866
15,0.65691656
16,0.65664005
16,0.6551294
17,0.6548825
17,0.6535584
18,0.6539484
18,0.65114063
19,0.6465732
19,0.6470941
20,0.6471259
20,0.6461908
21,0.643593
21,0.64272213
22,0.64373887
22,0.64406586
23,0.6442606
23,0.6456033
24,0.6431577
24,0.6423163
25,0.6425013
25,0.6440402
26,0.64206123
26,0.64313865
27,0.6433487
27,0.64360934
28,0.64280033
28,0.6430446
29,0.64324826
29,0.64385325
30,0.6444237
30,0.6455397
31,0.64660186
31,0.6467498
32,0.6459401
32,0.64594537
33,0.6466837
33,0.6476458
34,0.647781
34,0.64868104
35,0.64872575
35,0.64874285
36,0.64731264
36,0.6479015
37,0.6480189
37,0.6485731
38,0.64658666
38,0.6471092
39,0.64726025
39,0.64775366
40,0.6440009
40,0.64330643
41,0.64358455
41,0.6435543
42,0.64381844
42,0.64382446
43,0.64339817
43,0.6440367
44,0.6436879
44,0.6430632
45,0.64331
45,0.643738
46,0.64439267
46,0.64497644
47,0.64513457
47,0.64552015
48,0.6461283
48,0.6449859
49,0.6446174
49,0.6445439
50,0.6447446
50,0.6436795
51,0.64386314
51,0.6438862
52,0.64353
52,0.6435521
53,0.64372724
53,0.6442546
54,0.6443779
54,0.6447362
55,0.6453992
55,0.64490753
56,0.64457554
56,0.6445924
57,0.6452253
57,0.6452151
58,0.6453169
58,0.6453146
59,0.6445366
59,0.64455247
60,0.6450201
60,0.64503735
61,0.6454891
61,0.64548296
62,0.6442785
62,0.6447182
63,0.64354056
63,0.643135
64,0.6419489
64,0.64196604
65,0.64170706
65,0.6417092
66,0.63929427
66,0.6397052
67,0.638958
67,0.639356
68,0.6376109
68,0.63760227
69,0.6365411
69,0.6369212
70,0.6371503
70,0.63751906
71,0.6375854
71,0.6375793
72,0.6376937
72,0.6380465
73,0.63782656
73,0.63781565
74,0.63709354
74,0.6374316
75,0.63684046
75,0.6371692
76,0.6377753
76,0.63809496
77,0.6383172
77,0.63862824
78,0.638085
78,0.6383878
79,0.63749653
79,0.63746554
80,0.63804835
80,0.63800526
81,0.6378212
81,0.63779056
82,0.63762933
82,0.6378193
83,0.6383776
83,0.6383458
84,0.638692
84,0.638661
85,0.6378191
85,0.638092
86,0.6382885
86,0.6382445
87,0.63843906
87,0.6383948
88,0.63822407
88,0.6383966
89,0.6385568
89,0.6385225
90,0.63526046
90,0.6349387
91,0.63341075
91,0.6335793
92,0.6329825
92,0.63293415
93,0.6332049
93,0.6334522
94,0.63315064
94,0.6333925
95,0.6334027
95,0.6335571
96,0.63382536
96,0.63405776
97,0.6343192
97,0.6344662
98,0.63469607
98,0.6346437
99,0.6351532
99,0.6352959
100,0.63553685
100,0.63552034
101,0.6357309
101,0.635678
102,0.63565534
102,0.63534886
103,0.63508916
103,0.6350079
104,0.6349943
104,0.63544476
105,0.6340014
105,0.6340014
106,0.63329476
106,0.6332614
107,0.6332362
107,0.6333988
108,0.6333481
108,0.63331354
109,0.6333872
109,0.63312274
110,0.6328264
110,0.63225967
111,0.6306872
111,0.6306439
112,0.63088155
112,0.6308757
113,0.6306157
113,0.63077044
114,0.63022923
114,0.6296458
115,0.6299202
115,0.63054067
116,0.63070875
116,0.63063085
117,0.63087744
117,0.63106704
118,0.62989503
118,0.63030565
119,0.63103265
119,0.6307211
120,0.63071525
120,0.6310437
121,0.63127667
121,0.6312011
122,0.6307585
122,0.6307499
123,0.6307172
123,0.63050723
124,0.63079154
124,0.6310023
125,0.63099164
125,0.63091105
126,0.63141483
126,0.631329
127,0.6310652
127,0.6310164
128,0.6312745
128,0.63122696
129,0.6312278
129,0.630801
130,0.63069624
130,0.62952435
131,0.63973284
131,0.63981795
131,0.63981795
132,0.6401018
132,0.64038897
132,0.6537127
133,0.6532531
133,0.65299815
133,0.65200937
134,0.65150887
134,0.6513037
134,0.65160376
135,0.65179175
135,0.65191334
135,0.6465223
136,0.6465423
136,0.6464831
136,0.63353276
137,0.6335437
137,0.63359404
137,0.63279456
138,0.6329737
138,0.63281775
138,0.6331848
139,0.6332015
139,0.6331969
139,0.6355303
140,0.63635325
140,0.6365803
140,0.63816214
141,0.63828325
141,0.63805616
141,0.63592446
142,0.63609576
142,0.6360347
142,0.63754904
143,0.6379055
143,0.6377955
143,0.6391199
144,0.6389589
144,0.6390945
144,0.63831437
145,0.6384887
145,0.63813376
145,0.63743484
146,0.63748634
146,0.63748634
146,0.6376019
147,0.6377431
147,0.6377934
147,0.63927835
148,0.6389949
148,0.6392871
148,0.64007646
149,0.6403757
149,0.6405667
149,0.6412684
150,0.6412749
150,0.6415725
150,0.6412767
151,0.6411207
151,0.64087605
151,0.63958985
152,0.6399424
152,0.6392721
152,0.6393024
153,0.63929784
153,0.63887197
153,0.63761157
154,0.6376189
154,0.6374559
154,0.63811857
155,0.63790756
155,0.6380344
155,0.6386439
156,0.63864636
156,0.6385918
156,0.63965863
157,0.63932407
157,0.6395008
157,0.6385463
158,0.6386352
158,0.6385936
158,0.638141
159,0.63856286
159,0.6385069
159,0.6380273
160,0.63774633
160,0.63726234
160,0.63805866
161,0.63794154
161,0.63800377
161,0.6371016
162,0.6376398
162,0.6375268
162,0.6379201
163,0.6386333
163,0.6387542
163,0.63933116
164,0.63985246
164,0.64001817
164,0.6406926
165,0.6407157
165,0.64066994
165,0.640978
166,0.6420515
166,0.6418348
166,0.64212906
167,0.64255404
167,0.64234585
167,0.6426196
168,0.64347833
168,0.64353746
168,0.6439786
169,0.6442308
169,0.6442308
169,0.64476395
170,0.6446249
170,0.6444095
170,0.64462835
171,0.64454925
171,0.6445051
171,0.6448829
172,0.64445686
172,0.64428824
172,0.6446477
173,0.6440249
173,0.64418995
173,0.6444173
174,0.6448676
174,0.6448114
174,0.6451402
175,0.6456212
175,0.6456212
175,0.645935
176,0.6457494
176,0.6455122
176,0.64565796
177,0.64579105
177,0.645735
177,0.6411025
178,0.6415017
178,0.64128494
178,0.6415733
179,0.642144
179,0.64219666
179,0.6421967
180,0.6421967
180,0.642256
180,0.6423426
181,0.6424034
181,0.6423313
181,0.6425917
182,0.64231634
182,0.6423103
182,0.6422953
183,0.6419659
183,0.6418946
183,0.6421237
184,0.6420521
184,0.6420087
184,0.6422424
185,0.6426729
185,0.6426168
185,0.6430924
186,0.6426129
186,0.64257646
186,0.6427885
187,0.6427942
187,0.64233905
187,0.6427853
188,0.64284647
188,0.6428967
188,0.6430773
189,0.6431168
189,0.6428264
189,0.64316875
190,0.6450443
190,0.645158
190,0.645085
191,0.6461431
191,0.6459811
191,0.6463827
192,0.64702064
192,0.6471408
192,0.64752924
193,0.6470201
193,0.64680016
193,0.6471761
194,0.64733756
194,0.64733756
194,0.6477015
195,0.64768237
195,0.6473074
195,0.64765996
196,0.647775
196,0.647775
196,0.64811677
197,0.64828396
197,0.64811766
197,0.64844906
198,0.64858156
198,0.6483332
198,0.6485877
199,0.64824027
199,0.6480795
199,0.64839256
200,0.64838946
200,0.64832866
200,0.64863265
201,0.64864707
201,0.64817667
201,0.6481504
202,0.64831764
202,0.6484383
202,0.6472615
203,0.6476094
203,0.64756316
203,0.64749694
204,0.6473244
204,0.64710027
204,0.64700085
205,0.64766026
205,0.6472037
205,0.6472902
206,0.6476238
206,0.647517
206,0.6477509
207,0.6477386
207,0.6473344
207,0.64744985
208,0.64775085
208,0.6477508
208,0.6479739
209,0.6478012
209,0.6481527
209,0.6483701
210,0.64867425
210,0.64873034
210,0.6488248
211,0.64970136
211,0.6496102
211,0.64954495
212,0.6490314
212,0.6488381
212,0.64877707
213,0.6486165
213,0.64860475
213,0.6488096
214,0.6489933
214,0.6490925
214,0.64903045
215,0.6490211
215,0.6490168
215,0.64921486
216,0.64892644
216,0.64923763
216,0.6494829
217,0.64913976
217,0.6490566
217,0.6492449
218,0.64978766
218,0.6499986
218,0.6501826
219,0.6501848
219,0.65055966
219,0.6507395
220,0.6503951
220,0.6502777
220,0.65035045
221,0.6503346
221,0.6507149
221,0.6503329
222,0.6506274
222,0.65038866
222,0.65056396
223,0.6503916
