frame_id,CI
2,0.7026785714285714
3,0.41106543
4,0.47948697
5,0.52434224
6,0.48550728
7,0.5024679
8,0.51741344
9,0.51265943
10,0.5161391
11,0.42528075
12,0.37574223
13,0.36641294
14,0.37680298
15,0.22049576
16,0.14132348
17,0.15699
18,0.18199041
19,0.20490341
20,0.22389616
21,0.24204452
22,0.2594828
23,0.27631843
24,0.29263818
25,0.3094899
26,0.31837925
27,0.32563207
28,0.33491436
29,0.34257594
30,0.34780955
31,0.35625866
32,0.36428577
33,0.3744783
34,0.3810821
35,0.38308907
36,0.37199828
37,0.37426928
38,0.37748995
39,0.37854034
40,0.38459894
41,0.38698235
42,0.37577114
43,0.37848565
44,0.38368037
45,0.3813194
46,0.3803444
47,0.38473728
48,0.38936558
49,0.39319494
50,0.39776292
51,0.4005682
52,0.40434062
53,0.40706798
54,0.40948766
55,0.41106817
56,0.41476265
57,0.41790053
58,0.41989127
59,0.42264107
60,0.42505822
61,0.4261319
62,0.42502332
63,0.42728725
64,0.4294891
65,0.43214652
66,0.4347282
67,0.43813735
68,0.44055682
69,0.44092774
70,0.44195873
71,0.4429099
72,0.4425612
73,0.4431349
74,0.4448039
75,0.44595614
76,0.4473301
77,0.4485198
78,0.44967222
79,0.44975063
80,0.44881782
81,0.4503134
82,0.45217723
83,0.4543966
84,0.45608863
85,0.45690838
86,0.45405075
87,0.45224574
88,0.4479159
89,0.44878423
90,0.45233023
90,0.45233023
91,0.4531965
91,0
92,0
92,0
92,0
92,0
93,0
93,0.09671722
93,0.1880608
93,0.322742
94,0.32295898
94,0.3371766
94,0.3093335
94,0.29578605
95,0.29600105
95,0.30427176
95,0.2898385
95,0.28574723
96,0.28596172
96,0.28426614
96,0.27315992
96,0.27756956
97,0.27778348
97,0.28460404
97,0.28643757
97,0.28371924
98,0.2839326
98,0.28551674
98,0.28363913
98,0.28529805
99,0.28551087
99,0.28798935
99,0.2837559
99,0.2821441
100,0.2823562
100,0.2871949
100,0.28782764
100,0.28981516
101,0.2900266
101,0.29529268
101,0.2965528
101,0.29514745
102,0.2953582
102,0.29720914
102,0.30022115
102,0.29922113
103,0.29953533
103,0.30028144
103,0.30473727
103,0.30622074
104,0.30619833
104,0.3070165
104,0.3108053
104,0.3098503
105,0.30966392
105,0.3139897
105,0.31238756
105,0.31360212
106,0.3140318
106,0.31453186
106,0.31378222
107,0.313712
107,0.29505894
108,0.2949373
108,0.29422346
109,0.29418242
109,0.29481602
110,0.2950034
110,0.29444897
111,0.2965713
111,0.29602554
112,0.2975723
112,0.29844102
113,0.2991328
113,0.2986852
114,0.29883757
114,0.29960343
115,0.30512214
115,0.30465797
116,0.30826145
116,0.30784336
117,0.3082892
117,0.3087215
118,0.30854002
118,0.30815953
119,0.30828252
119,0.3079363
120,0.30778903
120,0.3081853
121,0.30831805
121,0.30868593
122,0.308437
122,0.308116
123,0.3081591
123,0.3078637
124,0.30751175
124,0.30785298
125,0.30771226
125,0.30743757
126,0.30737498
126,0.3078683
127,0.3081814
127,0.30792004
128,0.307755
128,0.30754074
129,0.3076101
129,0.3080618
130,0.30840507
130,0.30817205
131,0.3079539
131,0.30822584
132,0.3083017
132,0.3081079
133,0.30767867
133,0.3080778
134,0.30818415
134,0.3079734
135,0.30813375
135,0.30795917
136,0.30951738
136,0.3098884
137,0.31004542
137,0.31039956
138,0.3106197
138,0.31042528
139,0.2995486
140,0.29988012
141,0.29970315
142,0.29990324
440,0.30793896
441,0.25850672
442,0.2734436
443,0.26427752
443,0.26427752
444,0.2621773
444,0.21019605
445,0.20915768
445,0.21639687
446,0.22114952
446,0.23448206
447,0.23764327
447,0.23712844
448,0.2398397
448,0.2433601
449,0.24374408
449,0.24756134
450,0.24881797
450,0.2504976
451,0.2515341
451,0.2531759
452,0.2545655
452,0.25623068
453,0.2571195
453,0.25840238
454,0.25869456
454,0.2598054
455,0.26107767
455,0.2616748
456,0.264391
456,0.26531842
457,0.26828897
457,0.26913005
458,0.27007776
458,0.27084923
459,0.27167648
459,0.27262172
460,0.27266943
460,0.2731057
461,0.2740662
461,0.27150115
462,0.26161698
463,0.25969175
464,0.26090547
465,0.25951666
511,0.27023095
512,0.2577405
513,0.25046018
514,0.24860115
515,0.25358883
515,0.25358883
516,0.25574994
516,0.23386393
517,0.23317854
517,0.2482126
518,0.2477284
518,0.23078017
519,0.23133203
519,0.23643775
520,0.23581582
520,0.235817
521,0.23724134
521,0.2393893
522,0.24010585
522,0.24171484
523,0.24213298
523,0.23793666
524,0.2379975
524,0.23720326
525,0.23817687
525,0.23932734
526,0.23989691
526,0.24057607
527,0.24250448
527,0.24259223
528,0.2445944
528,0.24386933
529,0.24534717
529,0.24625023
530,0.24686581
530,0.24710801
531,0.24544397
531,0.24625857
532,0.24723524
532,0.24515766
533,0.2348946
613,0.2456089
614,0.24107762
615,0.24091704
615,0.24091704
616,0.23988189
616,0.2336295
617,0.23190299
617,0.22348407
618,0.22643752
618,0.21930127
619,0.22017649
619,0.22034585
620,0.21906891
620,0.21740624
621,0.21700612
621,0.21834168
622,0.21855892
622,0.22232454
623,0.22262123
623,0.22307321
624,0.2338627
624,0.23539276
624,0.23539276
625,0.23583925
625,0.23582573
625,0.23750739
626,0.23618752
626,0.23744088
626,0.2349832
627,0.236155
627,0.23618884
627,0.23547384
628,0.23710842
628,0.23714231
628,0.2340411
629,0.23772308
629,0.23795189
629,0.23899096
629,0.23899096
630,0.23914585
630,0.24005319
630,0.24007547
630,0.22357163
631,0.22335738
631,0.22306406
631,0.22207198
631,0.2238088
632,0.22406968
632,0.22179337
632,0.22368246
633,0.22358955
633,0.21991432
633,0.2214874
634,0.21113177
634,0.21347594
635,0.2078721
635,0.20411488
636,0.20496173
636,0.20309955
637,0.2046211
637,0.20478971
638,0.20708746
638,0.20878834
639,0.21033657
639,0.21064645
640,0.21199569
640,0.21285723
641,0.21458562
641,0.21449862
642,0.2155102
642,0.21613021
643,0.21644077
643,0.21677175
644,0.21744362
644,0.21775563
645,0.22631206
645,0.20774938
646,0.2083154
646,0.19864808
647,0.18839166
703,0.2017845
703,0.2017845
704,0.20685631
704,0.2051499
705,0.1987597
705,0.19089532
706,0.19596447
706,0.18308404
706,0.18308404
