frame_id,CI
2,0.5223214285714286
2,0.5223214285714286
3,0.13371167
3,0.29762116
4,0.37355337
4,0.37350664
5,0.41263947
5,0.4202843
5,0.4202843
6,0.44121033
6,0.43933204
6,0.3433599
7,0.33676857
7,0.34005865
7,0.38944593
8,0.38685536
8,0.38564026
8,0.39493284
9,0.3931558
9,0.3923038
9,0.39377418
10,0.39256075
10,0.39383563
10,0.3686048
11,0.367817
11,0.36880875
11,0.37499106
12,0.3735535
12,0.3728095
12,0.3722542
13,0.37198797
13,0.37323382
13,0.37581804
14,0.37562928
14,0.3749474
14,0.37394738
15,0.37388983
15,0.37451285
15,0.37488508
16,0.39271834
16,0.39214596
16,0.39355302
16,0.39355302
17,0.39755586
17,0.39704394
17,0.39584094
17,0.41934544
17,0.41934544
18,0.40604058
18,0.40678895
18,0.40675235
18,0.41868207
18,0.41868207
19,0.41841716
19,0.41767618
19,0.41782546
19,0.40711573
19,0.41282877
20,0.41309285
20,0.41296214
20,0.4129009
20,0.41578564
20,0.41537973
21,0.4151747
21,0.41502336
21,0.41582194
21,0.40698954
21,0.4105979
22,0.41096434
22,0.41078547
22,0.41060886
22,0.41289923
22,0.41063207
23,0.41043782
23,0.41022453
23,0.41009116
23,0.41207808
23,0.41263154
24,0.4129549
24,0.41273066
24,0.4126243
24,0.41368678
24,0.41330943
25,0.4131255
25,0.4128819
25,0.41336364
25,0.41477564
25,0.41021976
26,0.41005388
26,0.40978277
26,0.39893022
26,0.39843532
26,0.3992611
27,0.399439
27,0.39916158
27,0.40018958
27,0.4014838
27,0.40211833
28,0.4019607
28,0.40166798
28,0.40255478
28,0.40298334
28,0.4038584
29,0.42197695
29,0.42166016
29,0.42238235
29,0.40148404
29,0.40185553
29,0.40185553
30,0.40170738
30,0.40138656
30,0.4021269
30,0.4014617
30,0.40176532
30,0.39325425
31,0.3978449
31,0.39755854
31,0.39801064
31,0.397899
31,0.39811444
31,0.40348247
31,0.40348247
32,0.40336326
32,0.37399736
32,0.3744142
32,0.37551057
32,0.37592605
32,0.37795117
32,0.38752672
33,0.38762963
33,0.3892649
33,0.3896444
33,0.3904687
33,0.39058936
33,0.3915291
33,0.39272824
34,0.3928245
34,0.39454156
34,0.3947642
34,0.3955133
34,0.39561543
34,0.3909961
34,0.39223054
35,0.3921323
35,0.39365754
35,0.3939652
35,0.39462653
35,0.39471337
35,0.39434063
35,0.3946846
36,0.39459148
36,0.39586917
36,0.3912157
36,0.39182675
36,0.39190084
36,0.392139
36,0.39233884
37,0.4058221
37,0.40197048
37,0.4011236
37,0.40166917
37,0.40194634
37,0.40148705
37,0.40161481
38,0.40152475
38,0.40287557
38,0.4031573
38,0.40365747
38,0.38399577
38,0.38406223
38,0.38414204
39,0.3842809
39,0.3855536
39,0.38591066
39,0.38621548
39,0.38674012
39,0.3864773
39,0.38654026
40,0.38645306
40,0.3876811
40,0.38800734
40,0.38859725
40,0.3896073
40,0.38957694
40,0.38448018
41,0.4024675
41,0.40362853
41,0.40387994
41,0.40428567
41,0.40528625
41,0.40595764
41,0.40676057
41,0.40676057
42,0.40667748
42,0.40766358
42,0.4079845
42,0.40821272
42,0.40910572
42,0.4078315
42,0.40788025
42,0.42214727
43,0.42207527
43,0.42298335
43,0.4231696
43,0.42360157
43,0.42424536
43,0.42349863
43,0.42374885
43,0.42489547
44,0.4249615
44,0.42584527
44,0.42597872
44,0.42616004
44,0.42552722
44,0.42457926
44,0.42494458
44,0.42455387
45,0.41926974
45,0.42008954
45,0.4202866
45,0.42067182
45,0.42089987
45,0.42062247
45,0.42070842
45,0.42078984
46,0.42064357
46,0.42142433
46,0.4216075
46,0.42176634
46,0.42196643
46,0.4220019
46,0.4219417
46,0.42194605
47,0.42198527
47,0.42267835
47,0.42284888
47,0.42309666
47,0.42328018
47,0.4239154
47,0.4235989
47,0.4236368
48,0.42385352
48,0.4245658
48,0.42462903
48,0.42495924
48,0.42512393
48,0.42568064
48,0.4252743
48,0.42526817
49,0.42976406
49,0.43046367
49,0.43061498
49,0.43074843
49,0.43074396
49,0.43130678
49,0.4312878
49,0.43131065
